tipo_doc,co_mun,registro_tombo,exer_orç,co_orgao,co_uni_orcamentaria,data_empenho,nu_empenho,data_ref
983,061,03000000000000044620,201400,03,01,20140205,5020001,202311
983,061,03000000000000044621,201400,03,01,20140205,5020001,202311
983,061,03000000000000044622,201400,03,01,20140205,5020001,202311
983,061,03000000000000044623,201400,03,01,20140205,5020001,202311
983,061,03000000000000044624,201400,03,01,20140205,5020001,202311
983,061,03000000000000044627,201400,03,01,20140205,5020001,202311
983,061,03000000000000044628,201400,03,01,20140205,5020001,202311
983,061,03000000000000044632,201400,03,01,20140205,5020001,202311
983,061,03000000000000044633,201400,03,01,20140205,5020001,202311
983,061,03000000000000044634,201400,03,01,20140205,5020001,202311
983,061,03000000000000044635,201400,03,01,20140205,5020001,202311
983,061,03000000000000044636,201400,03,01,20140205,5020001,202311
983,061,03000000000000044637,201400,03,01,20140205,5020001,202311
983,061,03000000000000044639,201400,03,01,20140205,5020001,202311
983,061,03000000000000044640,201400,03,01,20140205,5020001,202311
983,061,03000000000000044642,201400,03,01,20140205,5020001,202311
983,061,03000000000000044643,201400,03,01,20140205,5020001,202311
983,061,03000000000000044644,201400,03,01,20140205,5020001,202311
983,061,03000000000000044647,201400,03,01,20140205,5020001,202311
983,061,03000000000000044650,201400,03,01,20140205,5020001,202311
983,061,03000000000000044652,201400,03,01,20140205,5020001,202311
983,061,03000000000000044653,201400,03,01,20140205,5020001,202311
983,061,03000000000000044654,201400,03,01,20140205,5020001,202311
983,061,03000000000000044655,201400,03,01,20140205,5020001,202311
983,061,03000000000000044656,201400,03,01,20140205,5020001,202311
983,061,03000000000000044657,201400,03,01,20140205,5020001,202311
983,061,03000000000000044658,201400,03,01,20140205,5020001,202311
983,061,03000000000000044659,201400,03,01,20140205,5020001,202311
983,061,03000000000000044660,201400,03,01,20140205,5020001,202311
983,061,03000000000000044661,201400,03,01,20140205,5020001,202311
983,061,03000000000000044662,201400,03,01,20140205,5020001,202311
983,061,03000000000000044663,201400,03,01,20140205,5020001,202311
983,061,03000000000000044664,201400,03,01,20140205,5020001,202311
983,061,03000000000000044665,201400,03,01,20140205,5020001,202311
983,061,03000000000000044666,201400,03,01,20140205,5020001,202311
983,061,03000000000000044667,201400,03,01,20140205,5020001,202311
983,061,03000000000000044668,201400,03,01,20140205,5020001,202311
983,061,03000000000000044669,201400,03,01,20140205,5020001,202311
983,061,03000000000000044670,201400,03,01,20140205,5020001,202311
983,061,03000000000000044671,201400,03,01,20140205,5020001,202311
